iter	Logloss
0	0.6008666609
1	0.5274683107
2	0.4526950196
3	0.4085322826
4	0.3754595644
5	0.3317209901
6	0.3111109877
7	0.2929557604
8	0.2732203433
9	0.2585330157
10	0.2434350065
11	0.2328341686
12	0.2246085845
13	0.2159373468
14	0.2073917999
15	0.1986823397
16	0.1921630805
17	0.1881617004
18	0.184216006
19	0.1780743756
20	0.1748590005
21	0.1721380436
22	0.1686728147
23	0.1660169832
24	0.1642871734
25	0.1609213455
26	0.1581076423
27	0.1568916342
28	0.1546996258
29	0.1505922757
30	0.1491217148
31	0.1480080968
32	0.1463499862
33	0.1452259565
34	0.1440006867
35	0.1429472766
36	0.1421560503
37	0.1413044223
38	0.1389361033
39	0.1380812785
40	0.1368934455
41	0.1348650846
42	0.1332202867
43	0.1317688257
44	0.1310774724
45	0.1302822275
46	0.129551216
47	0.1268768985
48	0.1264509198
49	0.1259218172
50	0.1257134036
51	0.1247136983
52	0.1242597315
53	0.1235886198
54	0.1229988935
55	0.1225774337
56	0.1220138397
57	0.1215160692
58	0.1210322363
59	0.1207892035
60	0.1205500201
61	0.1202075269
62	0.1198539655
63	0.1192968369
64	0.1190582691
65	0.1186952702
66	0.1180903516
67	0.1174361705
68	0.117114647
69	0.1167800521
70	0.1164491186
71	0.1158450059
72	0.1155553423
73	0.1144991749
74	0.1139762983
75	0.1133679566
76	0.1121853229
77	0.111350031
78	0.1104425552
79	0.1100672971
80	0.1098403318
81	0.1092435412
82	0.1089517057
83	0.1086861021
84	0.1082865929
85	0.1076509804
86	0.1067747328
87	0.1064159653
88	0.1061834649
89	0.1058500132
90	0.1056617008
91	0.1054737619
92	0.1048760967
93	0.1043326668
94	0.1041904668
95	0.1039105208
96	0.103771165
97	0.1036183228
98	0.1034865691
99	0.1032058824
100	0.1030667275
101	0.1029151353
102	0.1026323518
103	0.1024428637
104	0.1022381867
105	0.1020663264
106	0.1018975306
107	0.1015002639
108	0.1013319364
109	0.1011742492
110	0.1010350641
111	0.1009730476
112	0.1005510185
113	0.1003388596
114	0.1002625113
115	0.1001082196
116	0.09982245851
117	0.09960122129
118	0.09952660639
119	0.09925863483
120	0.0989588495
121	0.09872781673
122	0.09837076869
123	0.09822027972
124	0.09811496756
125	0.0980145536
126	0.09784222063
127	0.09768707993
128	0.09757869334
129	0.09748022599
130	0.09743144785
131	0.09702333484
132	0.09685917979
133	0.09669224329
134	0.09653259489
135	0.0962758661
136	0.09608315384
137	0.0959083441
138	0.09573951461
139	0.09558799346
140	0.0955203033
141	0.09539477784
142	0.09525654007
143	0.09496231397
144	0.09473905548
145	0.09454423416
146	0.0944129349
147	0.09422829506
148	0.0940387554
149	0.09396021084
150	0.09383349086
151	0.09364958698
152	0.09356367252
153	0.09338467663
154	0.09329658804
155	0.0931274355
156	0.09294756129
157	0.09287070483
158	0.09268254765
159	0.09256489209
160	0.09247280368
161	0.09237136884
162	0.0923163121
163	0.09223544715
164	0.092172608
165	0.09188236696
166	0.09168529975
167	0.09154397248
168	0.09135714886
169	0.09117317617
170	0.09098972746
171	0.09092230551
172	0.09084703379
173	0.09079626099
174	0.09065904432
175	0.09055659604
176	0.0904860746
177	0.09032483969
178	0.09023877628
179	0.09014665479
180	0.0897830876
181	0.08973086479
182	0.08969958551
183	0.08963432321
184	0.08936315495
185	0.08926422354
186	0.08915444162
187	0.08908257215
188	0.08896590604
189	0.08874729028
190	0.08861587219
191	0.088470066
192	0.08839481193
193	0.0883485164
194	0.08822253306
195	0.08816128357
196	0.08768710162
197	0.08761132867
198	0.0875300836
199	0.08741148409
200	0.08730847426
201	0.08706933953
202	0.08694279095
203	0.08682926226
204	0.08672814564
205	0.08662938675
206	0.0864992751
207	0.08642981509
208	0.08637579461
209	0.08627306967
210	0.0862020571
211	0.08583818023
212	0.08565756527
213	0.08562542003
214	0.08551737315
215	0.08539124865
216	0.08532427244
217	0.0852200162
218	0.08510838057
219	0.08505638682
220	0.0849115775
221	0.08478614555
222	0.08472098186
223	0.08457380321
224	0.08447548543
225	0.0844384244
226	0.08439970005
227	0.08434805646
228	0.08427043044
229	0.08404908765
230	0.08403328989
231	0.08397917739
232	0.08384294597
233	0.08382273216
234	0.08370998282
235	0.08363407231
236	0.08338936535
237	0.0833411118
238	0.08327917944
239	0.08321070198
240	0.08315788421
