iter	Passed	Remaining
0	12	12106
1	23	11610
2	34	11362
3	45	11250
4	56	11224
5	68	11270
6	78	11178
7	89	11092
8	100	11069
9	112	11089
10	122	11048
11	134	11054
12	145	11074
13	156	11047
14	167	11019
15	179	11024
16	190	11015
17	200	10955
18	212	10983
19	223	10975
20	234	10945
21	245	10927
22	257	10951
23	285	11590
24	300	11716
25	312	11710
26	323	11666
27	333	11578
28	345	11562
29	356	11522
30	367	11474
31	378	11437
32	390	11447
33	401	11412
34	413	11413
35	427	11440
36	439	11426
37	449	11385
38	462	11391
39	473	11369
40	484	11325
41	496	11315
42	507	11302
43	518	11261
44	529	11239
45	541	11226
46	553	11214
47	564	11198
48	576	11197
49	588	11182
50	598	11145
51	610	11129
52	622	11113
53	632	11081
54	644	11068
55	655	11053
56	667	11044
57	679	11035
58	691	11030
59	703	11025
60	715	11011
61	726	10994
62	737	10975
63	749	10954
64	760	10939
65	773	10939
66	785	10943
67	796	10921
68	808	10904
69	820	10899
70	832	10886
71	843	10867
72	855	10862
73	869	10876
74	881	10865
75	893	10857
76	904	10841
77	914	10812
78	927	10811
79	939	10808
80	951	10797
81	964	10796
82	977	10799
83	991	10808
84	1003	10800
85	1013	10776
86	1026	10771
87	1037	10757
88	1048	10728
89	1060	10720
90	1072	10714
91	1084	10705
92	1095	10681
93	1106	10668
94	1118	10653
95	1130	10644
96	1141	10629
97	1153	10616
98	1165	10608
99	1177	10596
100	1188	10579
101	1199	10560
102	1210	10543
103	1222	10528
104	1234	10520
105	1244	10498
106	1255	10481
107	1268	10477
108	1279	10460
109	1291	10450
110	1303	10437
111	1313	10414
112	1325	10401
113	1338	10405
114	1349	10384
115	1360	10369
116	1375	10379
117	1388	10375
118	1398	10357
119	1410	10340
120	1422	10331
121	1434	10322
122	1445	10303
123	1456	10291
124	1469	10288
125	1481	10276
126	1493	10264
127	1505	10255
128	1516	10238
129	1527	10224
130	1539	10213
131	1551	10202
132	1563	10192
133	1576	10189
134	1589	10184
135	1601	10172
136	1613	10161
137	1624	10147
138	1636	10139
139	1648	10124
140	1659	10107
141	1671	10101
142	1684	10093
143	1698	10095
144	1710	10086
145	1721	10072
146	1735	10070
147	1747	10058
148	1757	10037
149	1769	10028
150	1782	10021
151	1793	10004
152	1805	9994
153	1818	9989
154	1830	9977
155	1841	9962
156	1858	9978
157	1871	9971
158	1893	10017
159	1911	10034
160	1923	10021
161	1936	10019
162	1949	10009
163	1959	9987
164	1971	9977
165	1984	9971
166	1997	9965
167	2009	9952
168	2022	9943
169	2034	9933
170	2047	9927
171	2059	9913
172	2070	9898
173	2083	9891
174	2096	9883
175	2108	9872
176	2119	9855
177	2131	9843
178	2145	9839
179	2156	9824
180	2167	9806
181	2178	9791
182	2188	9770
183	2201	9763
184	2212	9747
185	2223	9729
186	2234	9713
187	2244	9695
188	2255	9677
189	2266	9661
190	2277	9646
191	2288	9630
192	2299	9613
193	2309	9595
194	2321	9583
195	2332	9566
196	2343	9551
197	2353	9534
198	2365	9520
199	2376	9507
200	2387	9490
201	2398	9476
202	2411	9466
203	2421	9448
204	2432	9435
205	2443	9419
206	2454	9401
207	2465	9386
208	2476	9371
209	2486	9355
210	2497	9340
211	2509	9329
212	2520	9312
213	2531	9298
214	2543	9287
215	2554	9272
216	2565	9257
217	2577	9246
218	2589	9233
219	2599	9217
220	2611	9205
221	2622	9191
222	2633	9174
223	2644	9162
224	2656	9151
225	2667	9137
226	2679	9122
227	2692	9118
228	2704	9104
229	2715	9089
230	2725	9073
231	2735	9056
232	2747	9045
233	2759	9032
234	2770	9018
235	2783	9009
236	2795	8999
237	2807	8989
238	2818	8973
239	2829	8959
240	2841	8948
241	2854	8939
242	2864	8923
243	2876	8912
244	2889	8904
245	2901	8892
246	2912	8880
247	2924	8868
248	2936	8856
249	2946	8838
250	2958	8828
251	2970	8816
252	2982	8804
253	2994	8795
254	3006	8782
255	3017	8768
256	3028	8756
257	3039	8742
258	3051	8730
259	3062	8715
260	3073	8703
261	3086	8694
262	3097	8680
263	3109	8669
264	3121	8657
265	3131	8641
266	3142	8628
267	3155	8617
268	3166	8606
269	3178	8593
270	3191	8584
271	3203	8573
272	3214	8559
273	3225	8546
274	3237	8534
275	3247	8518
276	3259	8507
277	3270	8493
278	3281	8480
279	3293	8468
280	3305	8458
281	3317	8447
282	3328	8432
283	3339	8419
284	3349	8404
285	3360	8390
286	3371	8375
287	3382	8362
288	3394	8352
289	3406	8340
290	3418	8328
291	3428	8313
292	3439	8298
293	3450	8285
294	3461	8273
295	3472	8259
296	3484	8247
297	3495	8235
298	3507	8224
299	3520	8213
300	3531	8200
301	3541	8185
302	3552	8172
303	3564	8160
304	3574	8146
305	3586	8134
306	3598	8123
307	3610	8110
308	3622	8101
309	3634	8089
310	3645	8075
311	3655	8061
312	3668	8051
313	3680	8040
314	3693	8031
315	3706	8023
316	3718	8012
317	3730	8000
318	3740	7984
319	3750	7969
320	3761	7955
321	3771	7941
322	3782	7928
323	3793	7914
324	3803	7899
325	3813	7884
326	3824	7870
327	3835	7857
328	3846	7844
329	3855	7828
330	3866	7815
331	3878	7802
332	3888	7787
333	3899	7774
334	3910	7762
335	3920	7747
336	3931	7735
337	3941	7720
338	3952	7707
339	3963	7693
340	3973	7679
341	3985	7667
342	3996	7654
343	4006	7640
344	4018	7628
345	4029	7615
346	4039	7602
347	4050	7588
348	4059	7572
349	4070	7558
350	4080	7543
351	4091	7531
352	4101	7518
353	4112	7505
354	4123	7491
355	4134	7478
356	4145	7466
357	4156	7453
358	4168	7442
359	4179	7429
360	4189	7416
361	4201	7404
362	4212	7392
363	4222	7378
364	4233	7365
365	4244	7352
366	4255	7339
367	4265	7326
368	4277	7314
369	4287	7300
370	4297	7286
371	4309	7274
372	4319	7260
373	4330	7249
374	4341	7236
375	4351	7222
376	4362	7209
377	4374	7198
378	4385	7185
379	4397	7174
380	4409	7163
381	4419	7150
382	4430	7138
383	4442	7126
384	4453	7113
385	4464	7100
386	4475	7088
387	4486	7075
388	4497	7063
389	4508	7051
390	4518	7037
391	4529	7025
392	4541	7014
393	4552	7001
394	4563	6989
395	4574	6977
396	4585	6964
397	4595	6951
398	4607	6939
399	4617	6926
400	4629	6915
401	4640	6903
402	4651	6890
